,numPhotos,price,propertyType,size,exterior,rooms,bathrooms,distance,priceByArea,hasPlan,has360,hasVideo,hasLift,parkingSpace_included_in_listing,floor_grouped,municipality_grouped,p_area_property_grouped
290,26,740.0,flat,41.0,True,2,1,4787,18.04878048780488,True,True,True,False,False,2.0,Madrid,flat or other
291,31,740.0,flat,57.0,True,1,1,3642,12.982456140350877,True,True,True,True,False,1.0,Madrid,flat or other
293,47,700.0,flat,74.0,False,2,1,9950,9.45945945945946,True,True,True,False,False,4 or more,Other,flat or other
294,22,730.0,flat,35.0,False,1,1,760,20.857142857142858,False,False,False,True,False,2.0,Madrid,flat or other
295,25,700.0,studio,28.0,True,0,1,9700,25.0,False,False,False,True,False,3.0,Madrid,studio
299,23,750.0,flat,109.0,True,2,2,24455,6.8807339449541285,False,False,False,True,True,3.0,Other,flat or other
303,16,749.0,flat,38.0,True,1,1,6506,19.71052631578948,False,True,False,True,True,2.0,Madrid,flat or other
304,7,700.0,studio,30.0,False,0,1,2411,23.33333333333333,False,False,False,True,False,0.0,Madrid,studio
305,15,667.0,flat,70.0,True,1,1,21185,9.528571428571428,False,False,False,True,True,4 or more,Other,flat or other
306,22,725.0,flat,45.0,False,1,1,10398,16.11111111111111,False,False,False,True,True,1.0,Madrid,flat or other
307,21,550.0,penthouse,70.0,True,3,1,47595,7.857142857142857,False,False,False,False,True,3.0,Other,flat or other
308,29,695.0,flat,55.0,True,3,1,19765,12.636363636363637,True,True,True,False,False,4 or more,Other,flat or other
310,35,750.0,flat,105.0,True,3,1,28810,7.142857142857143,False,False,False,False,False,1.0,Other,flat or other
311,24,699.0,flat,52.0,True,1,1,7092,13.442307692307692,False,False,False,True,True,3.0,Madrid,flat or other
312,18,750.0,studio,32.0,True,0,1,5006,23.4375,False,False,True,True,False,4 or more,Madrid,studio
313,14,730.0,flat,80.0,True,3,1,35774,9.125,False,False,False,False,False,4 or more,Other,flat or other
315,27,710.0,flat,30.0,True,1,1,1156,23.666666666666668,True,True,True,False,False,0.0,Madrid,flat or other
316,20,650.0,flat,58.0,True,1,1,5924,11.20689655172414,False,False,False,True,False,4 or more,Madrid,flat or other
318,28,740.0,flat,41.0,True,2,1,8358,18.04878048780488,True,True,True,False,False,3.0,Madrid,flat or other
319,25,525.0,flat,40.0,True,1,1,43059,13.125,True,True,True,True,False,3.0,Other,flat or other
