,numPhotos,price,propertyType,size,exterior,rooms,bathrooms,distance,priceByArea,hasPlan,has360,hasVideo,hasLift,parkingSpace_included_in_listing,floor_grouped,municipality_grouped
210,21,690.0,flat,85.0,True,2,1,20804,8.117647058823529,False,False,False,True,False,nan,Other
211,14,750.0,flat,45.0,False,1,1,5089,16.666666666666668,True,False,False,False,False,0.0,Madrid
213,21,600.0,studio,32.0,True,0,1,6325,18.75,False,False,False,True,False,1.0,Madrid
215,28,723.0,studio,25.0,True,0,1,16775,28.92,True,False,True,True,True,nan,Other
220,29,725.0,flat,50.0,True,1,1,10503,14.5,True,False,False,True,True,1.0,Madrid
221,16,750.0,flat,67.0,True,3,1,11657,11.194029850746269,True,True,True,False,False,nan,Other
222,16,600.0,flat,45.0,True,2,1,41003,13.333333333333334,True,True,True,False,False,nan,Other
223,42,750.0,flat,70.0,True,3,1,14642,10.714285714285714,False,False,False,False,False,2.0,Other
224,6,450.0,penthouse,60.0,True,1,1,53238,7.5,False,False,False,False,False,nan,Other
226,27,720.0,flat,54.0,True,1,1,3296,13.333333333333334,True,True,True,False,False,0.0,Madrid
227,8,550.0,penthouse,75.0,True,2,2,53247,7.333333333333333,False,False,False,False,False,nan,Other
228,30,720.0,flat,49.0,False,3,1,8411,14.693877551020408,True,True,True,False,False,3.0,Madrid
229,38,740.0,flat,65.0,True,3,1,8443,11.384615384615383,False,False,False,True,False,1.0,Madrid
230,72,660.0,flat,155.0,False,3,2,41119,4.258064516129032,True,True,True,False,False,nan,Other
231,26,720.0,flat,56.0,False,2,1,6691,12.857142857142858,True,True,True,False,False,4,Madrid
232,22,650.0,flat,31.0,False,1,1,1207,20.967741935483872,False,False,False,False,False,3.0,Madrid
233,28,650.0,flat,96.0,True,2,1,43953,6.770833333333333,True,True,True,False,False,3.0,Other
234,29,660.0,flat,168.0,False,3,2,41221,3.928571428571429,True,True,True,True,True,3.0,Other
235,19,690.0,flat,64.0,True,2,1,30634,10.78125,False,False,False,False,False,0.0,Other
236,24,750.0,studio,25.0,True,0,1,3177,30.0,True,False,False,True,False,4,Madrid
238,29,725.0,flat,45.0,True,1,1,10508,16.11111111111111,True,False,False,True,True,2.0,Madrid
239,31,620.0,flat,85.0,False,1,1,19767,7.294117647058823,True,True,True,True,True,0.0,Other
240,25,590.0,flat,52.0,True,1,1,44526,11.346153846153848,False,False,False,False,False,0.0,Other
